City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ha'il,27.5219,41.6907,32.01,18,0,2.06,SA,1719355602
1,waitangi,-43.9535,-176.5597,11.57,84,100,4.02,NZ,1719355604
2,grytviken,-54.2811,-36.5092,-0.18,92,98,5.02,GS,1719355605
3,villa luvianos,18.9167,-100.4,19.98,76,100,0.74,MX,1719355606
4,rodino,52.5,80.25,19.23,79,3,1.31,RU,1719355607
5,zvishavane,-20.3267,30.0665,14.27,56,50,1.36,ZW,1719355532
6,adamstown,-25.066,-130.1015,22.59,87,0,5.51,PN,1719355609
7,kiunga,-6.1219,141.2906,24.73,97,99,0.53,PG,1719355610
8,khandyga,62.6667,135.6,20.19,67,100,3.55,RU,1719355611
9,port-aux-francais,-49.35,70.2167,4.93,97,95,10.62,TF,1719355612
10,isafjordur,66.0755,-23.124,6.19,84,100,2.98,IS,1719355615
11,magadan,59.5667,150.8,8.65,89,98,2.64,RU,1719355616
12,puerto natales,-51.7236,-72.4875,-1.75,100,40,1.03,CL,1719355500
13,edinburgh of the seven seas,-37.0676,-12.3116,16.19,85,100,16.06,SH,1719355618
14,jamestown,42.097,-79.2353,27.77,61,20,6.69,US,1719355621
15,sarkand,45.41,79.9186,21.58,44,0,3.57,KZ,1719355622
16,crane,31.3974,-102.3501,37.36,29,0,7.36,US,1719355623
17,novo aripuana,-5.1206,-60.3797,27.81,52,5,1.37,BR,1719355624
18,port mathurin,-19.6833,63.4167,22.84,59,3,10.0,MU,1719355625
19,badger,64.8,-147.5333,24.44,42,40,0.45,US,1719355626
20,lamu,-2.2717,40.902,25.31,80,16,8.79,KE,1719355627
21,happy valley-goose bay,53.3168,-60.3315,17.9,46,36,1.66,CA,1719355629
22,banda aceh,5.5577,95.3222,26.49,77,96,4.65,ID,1719355630
23,parun,35.4207,70.9221,7.92,75,23,2.92,AF,1719355631
24,chebarkul',54.9749,60.3633,8.64,83,100,2.08,RU,1719355632
25,port alfred,-33.5906,26.891,14.54,98,5,2.05,ZA,1719355633
26,al majaridah,19.1236,41.9111,33.43,47,60,1.97,SA,1719355634
27,yellowknife,62.456,-114.3525,19.67,52,75,5.66,CA,1719355635
28,sao jose da coroa grande,-8.8978,-35.1478,24.76,85,49,4.33,BR,1719355636
29,bethel,41.3712,-73.414,30.47,44,96,1.34,US,1719355638
30,varde,55.6211,8.4807,16.96,88,3,3.09,DK,1719355639
31,albany,42.6001,-73.9662,28.36,53,88,0.45,US,1719355483
32,fada,9.5667,8.3,20.99,94,96,1.26,NG,1719355641
33,weno,7.4515,151.8468,27.97,89,100,1.54,FM,1719355642
34,kill devil hills,36.0307,-75.676,29.0,61,0,5.14,US,1719355643
35,longyearbyen,78.2186,15.6401,8.91,71,75,4.12,SJ,1719355369
36,klyuchi,52.2667,79.1667,19.61,79,14,0.32,RU,1719355646
37,ribeira grande,38.5167,-28.7,19.32,83,77,1.79,PT,1719355647
38,sitka,57.0531,-135.33,15.94,72,40,4.12,US,1719355649
39,kabalo,-6.05,26.9167,21.01,45,0,1.86,CD,1719355650
40,carnarvon,-24.8667,113.6333,18.89,69,3,4.46,AU,1719355651
41,qaqortoq,60.7167,-46.0333,2.42,90,34,2.45,GL,1719355652
42,nema,57.5067,50.5011,9.26,85,99,3.61,RU,1719355653
43,margaret river,-33.95,115.0667,14.24,74,100,7.55,AU,1719355656
44,tonota,-21.4833,27.4833,13.26,81,92,3.3,BW,1719355657
45,ballston spa,43.0009,-73.849,29.07,53,0,3.09,US,1719355483
46,villa gesell,-37.2639,-56.973,6.7,64,67,2.97,AR,1719355552
47,puerto armuelles,8.2833,-82.8667,26.72,71,88,0.45,PA,1719355560
48,olonkinbyen,70.9221,-8.7187,1.36,89,100,8.06,SJ,1719355662
49,preobrazheniye,42.9019,133.9064,17.35,70,0,0.54,RU,1719355663
50,constitucion,-35.3333,-72.4167,7.22,74,1,2.88,CL,1719355556
51,tura,25.5198,90.2201,24.74,95,93,1.42,IN,1719355666
52,port lincoln,-34.7333,135.8667,10.84,88,80,4.89,AU,1719355668
53,san sebastian de la gomera,28.0916,-17.1133,22.43,83,20,1.54,ES,1719355669
54,avarua,-21.2078,-159.775,23.03,73,75,7.72,CK,1719355670
55,hermanus,-34.4187,19.2345,11.0,86,13,3.49,ZA,1719355671
56,altar,30.7,-111.8167,36.87,32,82,3.12,MX,1719355672
57,minas de marcona,-15.2119,-75.1103,12.18,84,18,7.75,PE,1719355673
58,wailua homesteads,22.0669,-159.378,29.24,95,100,6.17,US,1719355675
59,flin flon,54.7682,-101.865,11.39,68,100,3.37,CA,1719355643
60,newman,37.3138,-121.0208,39.57,10,31,5.85,US,1719355677
61,idri,27.5,13.2667,33.42,16,0,8.14,LY,1719355678
62,afaahiti,-17.75,-149.2833,25.93,82,100,9.85,PF,1719355679
63,cabo san lucas,22.8909,-109.9124,33.17,37,75,2.57,MX,1719355680
64,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,82,40,2.0,RU,1719355682
65,remire-montjoly,4.9167,-52.2667,27.02,89,0,1.54,GF,1719355394
66,vangaindrano,-23.35,47.6,19.4,78,91,2.54,MG,1719355684
67,whitehorse,60.7161,-135.0538,22.83,36,41,0.89,CA,1719355563
68,constantia,44.1833,28.65,19.38,77,1,2.42,RO,1719355686
69,udachny,66.4167,112.4,15.14,49,34,4.38,RU,1719355687
70,tiksi,71.6872,128.8694,2.11,96,100,4.6,RU,1719355688
71,wuwei,37.9281,102.6414,20.68,49,0,1.21,CN,1719355689
72,daru,-9.0763,143.2092,27.0,89,94,4.95,PG,1719355691
73,ludington,43.9553,-86.4526,26.56,86,0,3.09,US,1719355692
74,tursunzoda,38.5144,68.2333,25.79,35,6,2.78,TJ,1719355693
75,gonabad,34.3529,58.6837,25.08,21,19,5.88,IR,1719355694
76,muravlenko,63.7898,74.523,18.69,91,97,3.92,RU,1719355695
77,fraserburgh,57.6874,-2.0184,11.73,96,100,0.64,GB,1719355696
78,lata,40.1629,-8.3327,12.21,98,13,0.68,PT,1719355697
